area_name,year,month,total_crimes,violent_crimes,crimes_with_weapon,cases_closed
Northeast,2022,11,39,9,10,3
Northeast,2022,12,31,6,7,1
Northeast,2023,1,34,6,8,5
Northeast,2023,2,38,11,13,4
Northeast,2023,3,37,13,14,2
Northeast,2023,4,41,8,10,6
Northeast,2023,5,21,6,7,1
Northeast,2023,6,28,5,8,1
Northeast,2023,7,25,6,6,0
Northeast,2023,8,29,7,8,3
Northeast,2023,9,31,10,12,2
Northeast,2023,10,40,10,14,4
Northeast,2023,11,24,3,8,0
Northeast,2023,12,21,3,5,1
Northeast,2024,1,18,9,11,2
Northeast,2024,2,14,5,6,0
Northeast,2024,3,15,2,3,0
Northeast,2024,4,7,0,0,1
Northeast,2024,5,12,1,1,1
Northeast,2024,6,12,0,0,0
Northeast,2024,7,10,0,0,0
Northeast,2024,8,11,0,0,0
Northeast,2024,9,9,0,0,0
Northeast,2024,10,8,0,0,0
Northeast,2024,11,10,1,1,0
Northeast,2024,12,9,0,0,0
Olympic,2020,1,32,10,14,3
Olympic,2020,2,32,7,11,4
Olympic,2020,3,19,5,10,2
Olympic,2020,4,31,7,13,7
Olympic,2020,5,31,11,13,4
Olympic,2020,6,27,8,13,1
Olympic,2020,7,37,12,18,5
Olympic,2020,8,43,19,24,7
Olympic,2020,9,40,21,25,4
Olympic,2020,10,30,15,19,1
Olympic,2020,11,31,11,14,3
Olympic,2020,12,25,11,11,2
Olympic,2021,1,34,10,12,1
Olympic,2021,2,23,7,9,4
Olympic,2021,3,28,9,14,2
Olympic,2021,4,28,5,6,2
Olympic,2021,5,33,13,16,3
Olympic,2021,6,36,17,18,3
Olympic,2021,7,35,11,14,2
Olympic,2021,8,39,18,20,4
Olympic,2021,9,43,26,30,4
Olympic,2021,10,42,21,23,5
Olympic,2021,11,52,21,23,5
Olympic,2021,12,39,13,15,0
Olympic,2022,1,43,15,22,2
Olympic,2022,2,38,16,21,7
Olympic,2022,3,35,9,15,2
Olympic,2022,4,35,15,18,4
Olympic,2022,5,35,14,17,2
Olympic,2022,6,50,21,25,6
Olympic,2022,7,53,25,29,2
Olympic,2022,8,28,10,12,3
Olympic,2022,9,36,12,18,5
Olympic,2022,10,36,16,18,3
Olympic,2022,11,38,13,14,4
Olympic,2022,12,29,7,10,2
Olympic,2023,1,36,14,15,2
Olympic,2023,2,47,18,21,6
Olympic,2023,3,28,11,11,4
Olympic,2023,4,34,10,16,2
Olympic,2023,5,32,12,14,4
Olympic,2023,6,33,13,15,4
Olympic,2023,7,35,17,19,0
Olympic,2023,8,37,12,14,2
Olympic,2023,9,31,11,12,0
Olympic,2023,10,44,13,17,5
Olympic,2023,11,34,8,12,1
Olympic,2023,12,34,13,14,1
Olympic,2024,1,40,20,24,1
Olympic,2024,2,30,13,14,4
Olympic,2024,3,38,10,13,1
Olympic,2024,4,17,1,1,0
Olympic,2024,5,9,1,1,0
Olympic,2024,6,10,0,0,0
Olympic,2024,7,7,0,0,0
Olympic,2024,8,4,0,0,0
Olympic,2024,9,9,1,1,0
Olympic,2024,10,5,0,0,0
Olympic,2024,11,6,0,0,0
Olympic,2024,12,5,0,0,0
Pacific,2020,1,40,8,12,4
Pacific,2020,2,34,13,15,0
Pacific,2020,3,25,6,10,0
Pacific,2020,4,26,2,6,2
Pacific,2020,5,30,7,11,6
Pacific,2020,6,30,9,13,1
Pacific,2020,7,53,17,24,6
Pacific,2020,8,35,11,15,4
Pacific,2020,9,35,13,18,6
Pacific,2020,10,28,8,9,4
Pacific,2020,11,30,7,11,0
Pacific,2020,12,26,9,15,3
Pacific,2021,1,34,3,8,5
Pacific,2021,2,37,9,17,4
Pacific,2021,3,41,12,14,2
Pacific,2021,4,33,8,10,4
Pacific,2021,5,48,18,21,7
Pacific,2021,6,43,12,16,4
Pacific,2021,7,34,10,13,5
Pacific,2021,8,48,10,19,5
Pacific,2021,9,36,7,14,1
Pacific,2021,10,39,8,16,5
Pacific,2021,11,40,9,14,2
Pacific,2021,12,46,10,10,2
Pacific,2022,1,42,8,12,2
Pacific,2022,2,40,12,18,1
Pacific,2022,3,39,6,12,1
Pacific,2022,4,44,9,15,3
Pacific,2022,5,44,9,15,5
Pacific,2022,6,26,4,7,1
Pacific,2022,7,42,18,18,4
Pacific,2022,8,46,9,17,5
Pacific,2022,9,43,14,17,4
Pacific,2022,10,45,4,7,0
